,continent,country,median_age,aged_65_older,aged_70_older,non_risky_age,risky_age,total_cases,total_deaths,deaths_ratio,hospital_beds_per_thousand,gdp_per_capita,HDI
84,Africa,Liberia,19.2,3.057,1.756,95.187,4.813000000000002,2131.0,85.0,3.988737681839512,0.8,752.788,0.48
85,Africa,Libya,29.0,4.424,2.816,92.75999999999999,7.240000000000009,182012.0,3097.0,1.7015361624508274,3.7,17881.509,0.724
86,Europe,Lithuania,43.5,19.002,13.778,67.22,32.78,266795.0,4126.0,1.546505744110647,6.56,29524.265,0.882
87,Europe,Luxembourg,39.7,14.312,9.842,75.846,24.153999999999996,69239.0,808.0,1.1669723710625515,4.51,94277.965,0.916
88,Africa,Madagascar,19.6,2.929,1.686,95.38499999999999,4.615000000000009,40326.0,774.0,1.9193572385061746,0.2,1416.44,0.528
89,Africa,Malawi,18.1,2.979,1.783,95.238,4.7620000000000005,34231.0,1153.0,3.3682918991557362,1.3,1095.042,0.483
90,Asia,Malaysia,29.9,6.293,3.407,90.3,9.700000000000003,479421.0,1994.0,0.4159183681983059,1.9,26808.164,0.81
91,Africa,Mali,16.4,2.519,1.486,95.99499999999999,4.00500000000001,14207.0,511.0,3.5968184697684236,0.1,2014.306,0.434
92,Europe,Malta,42.4,19.426,11.324,69.25,30.75,30486.0,417.0,1.3678409761857901,4.485,36513.323,0.895
93,Africa,Mauritius,37.4,10.945,5.884,83.171,16.828999999999994,1288.0,17.0,1.3198757763975155,3.4,20292.745,0.804
94,North America,Mexico,29.3,6.857,4.321,88.822,11.177999999999997,2385512.0,220746.0,9.253610964857858,1.38,17336.469,0.779
95,Europe,Moldova,37.6,10.864,6.955,82.181,17.819000000000003,254075.0,6043.0,2.378431565482633,5.8,5189.972,0.75
96,Asia,Mongolia,28.6,4.031,2.421,93.54799999999999,6.452000000000012,50099.0,227.0,0.453102856344438,7.0,11840.846,0.737
97,Europe,Montenegro,39.1,14.762,9.395,75.843,24.156999999999996,98971.0,1564.0,1.5802608845015207,3.861,16409.288,0.829
98,Africa,Morocco,29.6,6.769,4.209,89.02199999999999,10.978000000000009,515420.0,9105.0,1.766520507547243,1.1,7485.013,0.686
99,Africa,Mozambique,17.7,3.158,1.87,94.972,5.028000000000006,70485.0,828.0,1.1747180251117257,0.7,1136.103,0.456
100,Asia,Myanmar,29.1,5.732,3.12,91.148,8.852000000000004,143131.0,3213.0,2.2447967246787908,0.9,5591.597,0.583
101,Asia,Nepal,25.0,5.809,3.212,90.979,9.021,472354.0,5411.0,1.1455391507217045,0.3,2442.804,0.602
102,Europe,Netherlands,43.2,18.779,11.881,69.34,30.659999999999997,1633356.0,17742.0,1.0862298237493846,3.32,48472.545,0.944
103,Oceania,New Zealand,37.9,15.322,9.72,74.958,25.042,2658.0,26.0,0.9781790820165538,2.61,36085.843,0.931
104,North America,Nicaragua,27.3,5.445,3.519,91.036,8.963999999999999,7193.0,185.0,2.5719449464757407,0.9,5321.444,0.66
105,Africa,Niger,15.1,2.553,1.378,96.069,3.9309999999999974,5348.0,192.0,3.590127150336574,0.3,926.0,0.394
106,Europe,North Macedonia,39.1,13.26,8.16,78.58,21.42,154804.0,5232.0,3.3797576290018347,4.28,13111.214,0.774
107,Europe,Norway,39.7,16.821,10.813,72.366,27.634,119814.0,774.0,0.6460013020181281,3.6,64800.057,0.957
