Series Name;Series Code;Country Name;Country Code;2018 [YR2018];2019 [YR2019]
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Letonia;LVA;34416012859;34102913582
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Líbano;LBN;54961275742;51991634492
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Lesotho;LSO;2575892262;2376328637
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Liberia;LBR;3264000000;3070518100
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Libia;LBY;52607888718;52091152228
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Liechtenstein;LIE;6876981286;..
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Lituania;LTU;53722883091;54627411860
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Luxemburgo;LUX;70919958016;71104919108
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Región Administrativa Especial de Macao, China;MAC;55084050790;53859116536
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Madagascar;MDG;13853433948;14114631281
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Malawi;MWI;6917301909;7666704427
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Malasia;MYS;3,58715E+11;3,64681E+11
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Maldivas;MDV;5299773145;5642179170
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Malí;MLI;17070758732;17279566719
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Malta;MLT;14750790658;14989415684
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Islas Marshall;MHL;221278000;..
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Mauritania;MRT;7049169771;7600656944
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Mauricio;MUS;14181951059;14048430519
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;México;MEX;1,22235E+12;1,26887E+12
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Micronesia (Estados Federados de);FSM;401932300;..
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;República de Moldova;MDA;11456717193;11968713370
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Mónaco;MCO;7188238073;..
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Mongolia;MNG;13108769496;13996719329
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Montenegro;MNE;5504255214;5542577965
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Marruecos;MAR;1,18096E+11;1,197E+11
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Mozambique;MOZ;14845870051;15291448212
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Myanmar;MMR;76168043982;76085852617
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Namibia;NAM;13454211344;12366528259
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Nauru;NRU;124021393,7;118223430,1
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Nepal;NPL;29173513476;30641380604
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Países Bajos;NLD;9,14043E+11;9,07051E+11
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Nueva Caledonia;NCL;..;..
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Nueva Zelandia;NZL;2,07921E+11;2,06929E+11
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Nicaragua;NIC;13063904770;12520915291
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Níger;NER;12846952857;12911689659
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Nigeria;NGA;3,9719E+11;4,4812E+11
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Macedonia del Norte;MKD;12683073866;12547040499
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Mariana;MNP;1323000000;..
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Noruega;NOR;4,34167E+11;4,03336E+11
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Omán;OMN;79788768969;76331518669
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Pakistán;PAK;3,14568E+11;2,78222E+11
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Palau;PLW;280435700;268354919,4
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Panamá;PAN;65128200000;66800800000
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Papua Nueva Guinea;PNG;24109509856;24829107011
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Paraguay;PRY;40384691791;38145288940
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Perú;PER;2,22045E+11;2,26848E+11
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Filipinas;PHL;3,46842E+11;3,76796E+11
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Polonia;POL;5,87412E+11;5,95858E+11
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Portugal;PRT;2,42313E+11;2,38785E+11
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Puerto Rico;PRI;1,0098E+11;1,04989E+11
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Qatar;QAT;1,83335E+11;1,75838E+11
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Rumania;ROU;2,41457E+11;2,50077E+11
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Federación de Rusia;RUS;1,66958E+12;1,69988E+12
